1,ムッシェル,,,いけすでとれる。,「種別：食料」。重量：１。巻貝の一種。中身を食べることもできるが、殻も調合素材に用いられる。一粒で二度美味しい貝。
2,うに,,,旧校舎裏の林でとれる。,「種別：武器」。重量：１。武器（うに）。このアイテムは投射のみ可能で、装備していなくても投射できる。
3,ガッシュの枝,,,旧校舎裏の林でとれる。,「種別：錬金術」。重量：１。ガッシュの木の枝。質の良い繊維質であり、様々な素材として用いられる。
4,塩,,,購買で購入(5G)。,「種別：錬金術」。重量：１。変哲のない塩。ヴァルーナは海が近いので安価で入手できる。
5,グラビ石,,,洞窟でとれる。,「種別：錬金術」。重量：１。周囲に不思議な重力場を生む石。石のくせにいつもふわふわ浮いてるが、入れ物に入れると浮くのをやめる。
6,国宝虫の糸,,,農園でとれる。,「種別：錬金術」。重量：１。綺麗な蛾の幼虫が作る糸を撚ったもの。真っ白な生糸は衣類などにも利用される。
7,祝福のワイン,,,購買で購入(800G)。,「種別：食料」。重量：３。農園でとれるぶどうから精製したワイン。料理として使われるほか、贈り物にも選ばれる。
8,シャリオミルク,,,購買で購入(200G)。,「種別：ポーション」。重量：１。マイナーアクション、メジャーアクション。HP回復を行う。自身のHPを[2D]点回復する。濃厚で豊潤な香り、それでいてしつこくないなめらかな口当たりのとても美味しいミルク。シャリオ山羊という山羊から採れる。
9,ぷにぷに玉,,,「ぷに」のドロップアイテム。,「種別：錬金術」。重量：１。ぷにぷにの中心に埋まっている謎の玉。この玉がないとぷにぷには水になってしまう。
10,きよ水,,,中庭の井戸でとれる。,「種別：ポーション」。重量：１。何の効果もないただのきれいな水。飲むと美味しい。
11,カボ芋,,,入手不可,
12,四つ葉の詰め草,,,"農園で取れる。
取得時に【幸運】判定(12)に成功する必要がある。",「種別：錬金術」。重量：１。四つ葉を集めた草瓶。幸運が訪れると言われている。
13,魔法の草,,,農園でとれる。,「種別：錬金術」。重量：１。一見してもただの雑草にしか見えない草。人工的な環境に適応しにくいため、育成には細心の注意を払う必要がある。
14,オニワライタケ,,,旧校舎裏の林でとれる。,「種別：食料」。重量：１。メジャーアクション。[スタン]を受ける。食べたら怪物でも笑い始めてしまうというキノコ。でも煮込んで毒抜きすればちゃんと食べられる。
15,ハチの巣,,,"旧校舎裏の林でとれる。
取得時に【敏捷】判定(12)に成功する必要がある。",「種別：錬金術」。重量：１。採れたてのハチの巣。中には微妙に幼虫が残っていて気持ち悪い。
16,ヤドクタケ,,,農園でとれる。,「種別：食料」。重量：１。メジャーアクション。[毒(2)]を受ける。毒があるので食べない方が良い。
17,ミスティカの葉,,,農園でとれる。,「種別：錬金術」。重量：１。ミスティカの葉っぱ。鮮やかな緑色をしており、濾せばお茶にもできる。
18,ハウレン草,,,農園でとれる。,「種別：錬金術」。重量：１。苦味がある草。野菜としてそのまま食べることもできる。
19,蒸留水,きよ水x2,ろ過器,難易度/進行度：10/4で成功。,「種別：ポーション」。重量：１。蒸留して精製した水。飲んでもそんなに美味しくない。
20,中和剤（青）,きよ水x1,,難易度/進行度：15/4で成功。,「種別：錬金術」。重量：１。青色の中和剤。様々な調合によく用いられる。
21,ハチミツ,ハチの巣x2,遠心分離器,難易度/進行度：15/6で成功。,「種別：食料」。重量：１。メジャーアクション。自身の[疲労状態]を回復する。甘いハチミツ。お菓子の素材によく用いられる。
22,LV1うに,うにx2,,難易度/進行度：15/4で成功。,種別:うに/レベル:1/重量:1/命中修正:0/攻撃力:5/行動修正:0/射程:効果参照/このアイテムは投射のみ可能で、装備していなくても投射できる。この武器による射撃攻撃のダメージは〈地〉属性の魔法ダメージとなる。
23,中和剤（緑）,魔法の草x1,,難易度/進行度：15/4で成功。,「種別：錬金術」。重量：１。緑色の中和剤。様々な調合によく用いられる。
24,燃える砂,カノーネ岩×1,,難易度/進行度：20/4で成功。,「種別：錬金術」。重量：１。燃えるように熱い砂。金属同士の調合や火薬などに用いられる。
25,中和剤（赤）,カノーネ岩x1,,難易度/進行度：15/4で成功。,「種別：錬金術」。重量：１。赤色の中和剤。様々な調合によく用いられる。
26,カノーネ岩,,,洞窟でとれる。,「種別：錬金術」。重量：１。熱を生み出す赤い石。調合の素材に使われる。
27,シャリオ油,シャリオミルク×1,遠心分離機,難易度/進行度：15/4で成功。,「種別：錬金術」。重量：１。牛乳から作り出した油脂。ほのかに甘い。
